track_name,track_id,genre,album_name,artist_name,release_date,duration_ms,popularity,danceability,key,acousticness,mode,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Osanisiya,2wQprLYzObQpVVVx4m98uu,zambian hip hop,Osanisiya,Yo Maps,2020-04-24,277472,29,0.533,7,0.141,1,0.586,2.65e-06,0.221,-6.185,0.0928,118.375,4,0.709
Confam,1eC4Sn5UcMAufqvrZg8e9R,"afrobeats,igbo trap,nigerian pop",Confam,Dremo,2022-03-17,170721,34,0.59,10,0.503,0,0.637,9.61e-06,0.122,-4.288,0.1,121.961,5,0.576
Mapalo,0F4wYmIrWVNhhK33BIWING,zambian hip hop,Mapalo,Jemax,2021-04-05,233404,20,0.778,10,0.157,1,0.915,0.0,0.0562,-3.352,0.142,112.357,4,0.894
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,"afro r&b,afrobeats",love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,2021-09-09,188368,75,0.579,8,0.436,1,0.596,0.0938,0.0549,-4.823,0.0561,119.9,3,0.443
Calm Down,6hgoYQDUcPyCz7LcTUHKxa,"afrobeats,nigerian pop",Calm Down,Rema,2022-02-10,219813,78,0.811,11,0.376,1,0.781,0.001,0.121,-6.333,0.0428,107.007,4,0.824
Confession,4ucXeGcKKzubgHb932T6sl,"afrobeats,nigerian pop",Confession,Babyboy AV,2021-10-22,188629,68,0.801,4,0.565,0,0.537,0.0,0.0907,-7.104,0.131,108.035,4,0.909
Essence (feat. Tems),5FG7Tl93LdH117jEKYl3Cm,"afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",Made In Lagos,Wizkid,2020-10-29,248040,75,0.849,0,0.0266,1,0.707,8.58e-06,0.618,-6.002,0.113,104.027,4,0.602
Running (To You),2KfKuJ3iWLYu8M1srzG2h0,"afrobeats,afropop,nigerian pop",Running (To You),Chike,2021-02-12,191245,7,0.658,4,0.76,1,0.508,0.0,0.0983,-6.608,0.0866,87.981,4,0.689
Ayoyo,63pyUZZJ4clm8US945j2wz,igbo rap,Rudykillus,Rudeboy,2021-08-05,221935,35,0.912,1,0.0355,0,0.63,3.82e-06,0.0796,-6.638,0.0363,114.027,4,0.753
Nkao Tempela,7JtWy2vvKVXLaymyTXUJ0K,amapiano,Nkao Tempela,Ch'cco,2021-11-11,361528,49,0.791,4,0.0295,0,0.417,0.0104,0.0789,-12.139,0.0522,112.008,4,0.225
Feeling,29e2gdZN35wxeGgDtkXjIa,"afrobeats,nigerian pop",Feeling,LADIPOE,2021-05-07,224000,59,0.615,7,0.26,0,0.575,4.27e-06,0.324,-6.515,0.4,134.791,5,0.552
Ameno Amapiano Remix (You Wanna Bamba),4iwiYqzoLImJraKQ9Pf2I2,,Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,2022-01-07,227100,61,0.807,6,0.188,0,0.898,0.000395,0.0824,-5.837,0.0393,112.998,4,0.743
Question (feat. Don Jazzy),6OOKa5alX6PoKUhSqg0ph7,"afrobeats,azontobeats,dancehall,nigerian hip hop,nigerian pop",Question (feat. Don Jazzy),Burna Boy,2021-08-24,168461,44,0.852,4,0.0938,1,0.525,0.000304,0.153,-9.363,0.0478,104.046,4,0.745
Jwe,7DfXXbaSLCRGdsNoMdpTQ9,"afrobeats,ghanaian hip hop,ghanaian pop",Jwe,Bisa Kdei,2016-09-19,274076,47,0.916,5,0.234,1,0.564,0.000289,0.312,-8.254,0.209,120.053,4,0.709
Sinner,3k6Y1ESBwF1low4hHsY4wu,"afrobeats,afropop,alte,azontobeats,nigerian hip hop,nigerian pop",Sinner,Adekunle Gold,2021-07-09,174117,53,0.507,1,0.745,0,0.548,0.0,0.198,-6.509,0.38,136.041,5,0.51
MOSLADO,3n8cVzL2mibNoBC6aR5lo0,"afrobeats,afropop,nigerian pop",WONDALAND,Teni,2021-03-19,206000,44,0.891,3,0.0431,0,0.614,0.0286,0.123,-7.749,0.0745,109.938,4,0.655
Yaba Buluku (feat. Preck & Nelson Tivane) - Remix,3KD8PhFfq5zQBAwwRvzG1i,"musica mocambicana,urban kiz",Yaba Buluku (feat. Preck & Nelson Tivane) [Remix],DJ Tarico,2021-06-21,214408,53,0.817,2,0.342,1,0.899,0.0,0.5,-5.531,0.0786,111.976,4,0.743
